EC-Lab ASCII FILE
Nb header lines : 55                          

Linear Polarization

Run on channel : 2 (SN 25892)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = -10,00 V, max = 10,00 V
Safety Limits :
	Do not start on E overload
Acquisition started on : 10.08.2018 15:01:16
Saved on :
	File : 1.4571_plasma.mpr
	Directory : D:\VLK\2018\Probe MPAL40\
	Host : 172.16.12.5
Device : VSP (SN 1524)
Address : USB
EC-Lab for windows v10.44 (software)
Internet server v10.44 (firmware)
Command interpretor v10.44 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Equivalent Weight : 0,000 g/eq.
Density : 0,000 g/cm3
tR (h:m:s)          0:00:0,0000         
dER/dt (mV/h)       0,0                 
dER (mV)            0                   
dtR (s)             1,0000              
dE/dt               0,100               
dE/dt unit          mV/s                
Ei (V)              -0,300              
vs.                 Ref                 
EL (V)              1,500               
vs.                 Ref                 
record              I                   
dI                  0,000               
unit dI             µA                  
tI (s)              2,0000              
step percent        25                  
N                   5                   
E range min (V)     -10,000             
E range max (V)     10,000              
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           5                   

mode	ox/red	error	control changes	time/s	control/V	Ewe/V	I/mA	P/W
2	1	0	1	1,600003959580499E+002	-2,8436294E-001	-2,8496385E-001	-1,1948010E-001	3,4047509E-005
2	1	0	0	1,620003959075257E+002	-2,8405499E-001	-2,8461999E-001	-1,1979825E-001	3,4096978E-005
2	1	0	1	1,640003958570014E+002	-2,8374705E-001	-2,8439075E-001	-1,2030092E-001	3,4212469E-005
2	1	0	0	1,660003958064772E+002	-2,8374705E-001	-2,8444806E-001	-1,2056180E-001	3,4293571E-005
2	1	0	1	1,680003957559529E+002	-2,8343913E-001	-2,8398955E-001	-1,2090541E-001	3,4335873E-005
2	1	0	1	1,700003957054287E+002	-2,8313118E-001	-2,8366479E-001	-1,2122355E-001	3,4386856E-005
2	1	0	0	1,720003956549044E+002	-2,8313118E-001	-2,8370300E-001	-1,2157352E-001	3,4490771E-005
2	1	0	1	1,740003956043802E+002	-2,8282323E-001	-2,8355017E-001	-1,2166896E-001	3,4499255E-005
2	1	0	0	1,760003955538559E+002	-2,8251529E-001	-2,8314900E-001	-1,2199984E-001	3,4544133E-005
2	1	0	1	1,780003955033317E+002	-2,8251529E-001	-2,8299618E-001	-1,2246434E-001	3,4656940E-005
2	1	0	0	1,800003954528074E+002	-2,8220737E-001	-2,8276691E-001	-1,2275067E-001	3,4709828E-005
2	1	0	1	1,820003954022832E+002	-2,8189942E-001	-2,8246126E-001	-1,2300519E-001	3,4744200E-005
2	1	0	0	1,840003953517589E+002	-2,8189942E-001	-2,8255677E-001	-1,2357149E-001	3,4915964E-005
2	1	0	1	1,860003953012347E+002	-2,8159148E-001	-2,8213650E-001	-1,2366694E-001	3,4890960E-005
2	1	0	1	1,880003952507104E+002	-2,8128353E-001	-2,8184995E-001	-1,2401054E-001	3,4952365E-005
2	1	0	0	1,900003952001862E+002	-2,8128353E-001	-2,8188816E-001	-1,2439232E-001	3,5064721E-005
2	1	0	1	1,920003951496619E+002	-2,8097561E-001	-2,8156340E-001	-1,2471683E-001	3,5115696E-005
2	1	0	0	1,940003950991377E+002	-2,8097561E-001	-2,8162071E-001	-1,2522587E-001	3,5266199E-005
2	1	0	1	1,960003950486134E+002	-2,8066766E-001	-2,8116220E-001	-1,2545493E-001	3,5273184E-005
2	1	0	0	1,980003949980892E+002	-2,8035972E-001	-2,8095207E-001	-1,2574764E-001	3,5329060E-005
2	1	0	1	2,000003949475649E+002	-2,8035972E-001	-2,8102848E-001	-1,2627576E-001	3,5487086E-005
2	1	0	1	2,020003948970407E+002	-2,8005177E-001	-2,8076103E-001	-1,2660663E-001	3,5546207E-005
2	1	0	0	2,040003948465164E+002	-2,7974385E-001	-2,8034076E-001	-1,2680389E-001	3,5548299E-005
2	1	0	1	2,060003947959922E+002	-2,7974385E-001	-2,8034076E-001	-1,2714113E-001	3,5642843E-005
2	1	0	0	2,080003947454679E+002	-2,7943590E-001	-2,8011149E-001	-1,2748474E-001	3,5709942E-005
2	1	0	1	2,100003946949437E+002	-2,7912796E-001	-2,7984405E-001	-1,2762472E-001	3,5715017E-005
2	1	0	0	2,120003946444194E+002	-2,7912796E-001	-2,7972943E-001	-1,2800650E-001	3,5807185E-005
2	1	0	1	2,140003945938952E+002	-2,7882001E-001	-2,7946198E-001	-1,2842008E-001	3,5888530E-005
2	1	0	1	2,160003945433709E+002	-2,7851209E-001	-2,7906081E-001	-1,2884006E-001	3,5954210E-005
2	1	0	0	2,180003944928467E+002	-2,7851209E-001	-2,7894616E-001	-1,2910093E-001	3,6012210E-005
2	1	0	1	2,200003944423224E+002	-2,7820414E-001	-2,7860230E-001	-1,2947635E-001	3,6072412E-005
2	1	0	0	2,220003943917982E+002	-2,7789620E-001	-2,7854499E-001	-1,2962906E-001	3,6107525E-005
2	1	0	1	2,240003943412739E+002	-2,7789620E-001	-2,7843037E-001	-1,3006811E-001	3,6214911E-005
2	1	0	0	2,260003942907497E+002	-2,7758825E-001	-2,7816293E-001	-1,3019538E-001	3,6215526E-005
2	1	0	1	2,280003942402254E+002	-2,7728030E-001	-2,7791458E-001	-1,3058351E-001	3,6291061E-005
2	1	0	0	2,300003941897012E+002	-2,7728030E-001	-2,7787638E-001	-1,3116890E-001	3,6448739E-005
2	1	0	1	2,320003941391769E+002	-2,7697238E-001	-2,7757069E-001	-1,3134708E-001	3,6458099E-005
2	1	0	1	2,340003940886527E+002	-2,7697238E-001	-2,7749428E-001	-1,3179249E-001	3,6571662E-005
2	1	0	0	2,360003940381284E+002	-2,7666444E-001	-2,7720773E-001	-1,3190064E-001	3,6563877E-005
2	1	0	1	2,380003939876042E+002	-2,7635649E-001	-2,7692118E-001	-1,3230152E-001	3,6637095E-005
2	1	0	0	2,400003939370799E+002	-2,7635649E-001	-2,7686387E-001	-1,3260694E-001	3,6714071E-005
2	1	0	1	2,420003938865557E+002	-2,7604854E-001	-2,7669194E-001	-1,3252421E-001	3,6668382E-005
2	1	0	0	2,440003938360314E+002	-2,7574062E-001	-2,7634805E-001	-1,3313507E-001	3,6791615E-005
2	1	0	1	2,460003937855072E+002	-2,7574062E-001	-2,7632895E-001	-1,3356775E-001	3,6908637E-005
2	1	0	0	2,480003937349829E+002	-2,7543268E-001	-2,7585137E-001	-1,3387316E-001	3,6929097E-005
2	1	0	1	2,500003936844587E+002	-2,7512473E-001	-2,7575585E-001	-1,3419768E-001	3,7005797E-005
2	1	0	1	2,520003936339344E+002	-2,7512473E-001	-2,7585137E-001	-1,3457946E-001	3,7123929E-005
2	1	0	0	2,540003935834102E+002	-2,7481678E-001	-2,7548841E-001	-1,3501851E-001	3,7196034E-005
2	1	0	1	2,560003935328859E+002	-2,7450886E-001	-2,7512541E-001	-1,3491671E-001	3,7119014E-005
2	1	0	0	2,580003934823617E+002	-2,7450886E-001	-2,7512541E-001	-1,3540030E-001	3,7252063E-005
2	1	0	1	2,600003934318374E+002	-2,7420092E-001	-2,7485797E-001	-1,3569935E-001	3,7298047E-005
2	1	0	0	2,620003933813132E+002	-2,7389297E-001	-2,7459052E-001	-1,3592842E-001	3,7324655E-005
2	1	0	1	2,640003933307889E+002	-2,7389297E-001	-2,7457142E-001	-1,3644382E-001	3,7463575E-005
2	1	0	0	2,660003932802647E+002	-2,7358502E-001	-2,7422756E-001	-1,3664743E-001	3,7472491E-005
2	1	0	1	2,680003932297404E+002	-2,7327710E-001	-2,7390277E-001	-1,3694014E-001	3,7508282E-005
2	1	0	1	2,700003931792162E+002	-2,7327710E-001	-2,7382636E-001	-1,3706103E-001	3,7530925E-005
2	1	0	0	2,720003931286919E+002	-2,7296916E-001	-2,7350160E-001	-1,3752553E-001	3,7613452E-005
2	1	0	1	2,740003930781677E+002	-2,7296916E-001	-2,7355891E-001	-1,3797094E-001	3,7743179E-005
2	1	0	0	2,760003930276434E+002	-2,7266121E-001	-2,7342519E-001	-1,3818091E-001	3,7782142E-005
2	1	0	1	2,780003929771192E+002	-2,7235326E-001	-2,7302402E-001	-1,3862632E-001	3,7848316E-005
2	1	0	0	2,800003929265949E+002	-2,7235326E-001	-2,7300492E-001	-1,3884903E-001	3,7906470E-005
2	1	0	1	2,820003928760707E+002	-2,7204534E-001	-2,7250820E-001	-1,3912900E-001	3,7913793E-005
2	1	0	0	2,840003928255464E+002	-2,7173740E-001	-2,7220255E-001	-1,3914809E-001	3,7876463E-005
2	1	0	1	2,860003927750222E+002	-2,7173740E-001	-2,7227896E-001	-1,3970804E-001	3,8039561E-005
2	1	0	1	2,880003927244979E+002	-2,7142945E-001	-2,7203062E-001	-1,4012799E-001	3,8119102E-005
2	1	0	0	2,900003926739737E+002	-2,7112150E-001	-2,7170587E-001	-1,4025524E-001	3,8108174E-005
2	1	0	1	2,920003926234494E+002	-2,7112150E-001	-2,7172497E-001	-1,4071338E-001	3,8235339E-005
2	1	0	0	2,940003925729252E+002	-2,7081358E-001	-2,7130467E-001	-1,4082156E-001	3,8205548E-005
2	1	0	1	2,960003925224009E+002	-2,7050564E-001	-2,7105632E-001	-1,4113970E-001	3,8256807E-005
2	1	0	0	2,980003924718767E+002	-2,7050564E-001	-2,7103722E-001	-1,4129242E-001	3,8295504E-005
2	1	0	1	3,000003924213524E+002	-2,7019769E-001	-2,7073157E-001	-1,4150874E-001	3,8310885E-005
2	1	0	0	3,020003923708282E+002	-2,6988974E-001	-2,7042592E-001	-1,4175691E-001	3,8334740E-005
2	1	0	0	3,040003923203039E+002	-2,6988974E-001	-2,7042592E-001	-1,4224686E-001	3,8467235E-005
2	1	0	1	3,060003922697797E+002	-2,6958182E-001	-2,7015844E-001	-1,4245048E-001	3,8484199E-005
2	1	0	0	3,080003922192554E+002	-2,6927388E-001	-2,6992920E-001	-1,4255229E-001	3,8479026E-005
2	1	0	1	3,100003921687312E+002	-2,6927388E-001	-2,6981458E-001	-1,4320132E-001	3,8637805E-005
2	1	0	0	3,120003921182069E+002	-2,6896593E-001	-2,6962355E-001	-1,4313133E-001	3,8591577E-005
2	1	0	1	3,140003920676827E+002	-2,6896593E-001	-2,6952803E-001	-1,4388216E-001	3,8780276E-005
2	1	0	0	3,160003920171584E+002	-2,6865798E-001	-2,6924148E-001	-1,4394578E-001	3,8756178E-005
2	1	0	1	3,180003919666342E+002	-2,6835006E-001	-2,6884028E-001	-1,4423212E-001	3,8775404E-005
2	1	0	0	3,200003919161099E+002	-2,6835006E-001	-2,6885939E-001	-1,4458844E-001	3,8873961E-005
2	1	0	0	3,220003918655857E+002	-2,6804212E-001	-2,6863015E-001	-1,4468388E-001	3,8866452E-005
2	1	0	1	3,240003918150614E+002	-2,6773417E-001	-2,6838180E-001	-1,4502749E-001	3,8922739E-005
2	1	0	0	3,260003917645372E+002	-2,6773417E-001	-2,6820987E-001	-1,4515474E-001	3,8931936E-005
2	1	0	1	3,280003917140129E+002	-2,6742622E-001	-2,6792333E-001	-1,4570834E-001	3,9038663E-005
2	1	0	0	3,300003916634887E+002	-2,6711830E-001	-2,6761764E-001	-1,4575288E-001	3,9006041E-005
2	1	0	1	3,320003916129644E+002	-2,6711830E-001	-2,6759854E-001	-1,4627464E-001	3,9142880E-005
2	1	0	0	3,340003915624402E+002	-2,6681036E-001	-2,6729289E-001	-1,4663096E-001	3,9193412E-005
2	1	0	1	3,360003915119160E+002	-2,6650241E-001	-2,6712096E-001	-1,4659280E-001	3,9158007E-005
2	1	0	0	3,380003914613917E+002	-2,6650241E-001	-2,6702544E-001	-1,4715272E-001	3,9293522E-005
2	1	0	0	3,400003914108675E+002	-2,6619446E-001	-2,6675799E-001	-1,4716545E-001	3,9257560E-005
2	1	0	1	3,420003913603432E+002	-2,6588655E-001	-2,6658607E-001	-1,4752814E-001	3,9328948E-005
2	1	0	0	3,440003913098190E+002	-2,6588655E-001	-2,6652876E-001	-1,4771904E-001	3,9371371E-005
2	1	0	1	3,460003912592947E+002	-2,6557860E-001	-2,6620397E-001	-1,4813899E-001	3,9435185E-005
2	1	0	0	3,480003912087705E+002	-2,6557860E-001	-2,6616576E-001	-1,4866713E-001	3,9570099E-005
2	1	0	1	3,500003911582462E+002	-2,6527065E-001	-2,6586011E-001	-1,4872439E-001	3,9539882E-005
2	1	0	0	3,520003911077220E+002	-2,6496270E-001	-2,6557356E-001	-1,4906164E-001	3,9586830E-005
